[ 2017-04-26T10:26:17+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块Favicon.ico
[ 2017-04-26T10:29:20+08:00 ] 127.0.0.1 /order/my_order_list
[ 2017-04-26T10:29:19+08:00 ] /order/my_order_list | INFO: Tag[ route_check ] --START--
[ 2017-04-26T10:29:19+08:00 ] /order/my_order_list | INFO: Run CheckRoute Behavior [ RunTime:0.000361s ]
[ 2017-04-26T10:29:19+08:00 ] /order/my_order_list | INFO: Tag[ route_check ] --END-- [ RunTime:0.000416s ]
[ 2017-04-26T10:29:19+08:00 ] /order/my_order_list | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-04-26T10:29:19+08:00 ] /order/my_order_list | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-04-26T10:29:19+08:00 ] /order/my_order_list | INFO: Tag[ app_begin ] --START--
[ 2017-04-26T10:29:19+08:00 ] /order/my_order_list | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000258s ]
[ 2017-04-26T10:29:19+08:00 ] /order/my_order_list | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000279s ]
[ 2017-04-26T10:29:20+08:00 ] /order/my_order_list | NOTIC: [8] Undefined index: p OrderAction.class.php 第 24 行.
[ 2017-04-26T10:29:20+08:00 ] /order/my_order_list | NOTIC: [8] Undefined index: common CommonAction.class.php 第 125 行.
[ 2017-04-26T10:29:20+08:00 ] /order/my_order_list | NOTIC: [8] Undefined variable: count OrderAction.class.php 第 32 行.
[ 2017-04-26T10:29:20+08:00 ] /order/my_order_list | INFO: Tag[ view_template ] --START--
[ 2017-04-26T10:29:20+08:00 ] /order/my_order_list | INFO: Run LocationTemplate Behavior [ RunTime:0.000530s ]
[ 2017-04-26T10:29:20+08:00 ] /order/my_order_list | INFO: Tag[ view_template ] --END-- [ RunTime:0.000561s ]
[ 2017-04-26T10:29:20+08:00 ] /order/my_order_list | INFO: Tag[ view_parse ] --START--
[ 2017-04-26T10:29:20+08:00 ] /order/my_order_list | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-04-26T10:29:20+08:00 ] /order/my_order_list | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-26T10:29:20+08:00 ] /order/my_order_list | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-26T10:29:20+08:00 ] /order/my_order_list | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-26T10:29:20+08:00 ] /order/my_order_list | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
