[ 2017-04-13T10:09:57+08:00 ] 127.0.0.1 /Text/index
[ 2017-04-13T10:09:57+08:00 ] /Text/index | INFO: Tag[ route_check ] --START--
[ 2017-04-13T10:09:57+08:00 ] /Text/index | INFO: Run CheckRoute Behavior [ RunTime:0.000344s ]
[ 2017-04-13T10:09:57+08:00 ] /Text/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000407s ]
[ 2017-04-13T10:09:57+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-04-13T10:09:57+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-04-13T10:09:57+08:00 ] /Text/index | INFO: Tag[ app_begin ] --START--
[ 2017-04-13T10:09:57+08:00 ] /Text/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000241s ]
[ 2017-04-13T10:09:57+08:00 ] /Text/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000265s ]
[ 2017-04-13T10:09:57+08:00 ] /Text/index | NOTIC: [8] Undefined index: _deviceid_ functions.php 第 445 行.
[ 2017-04-13T10:09:57+08:00 ] /Text/index | INFO: Tag[ view_template ] --START--
[ 2017-04-13T10:09:57+08:00 ] /Text/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001015s ]
[ 2017-04-13T10:09:57+08:00 ] /Text/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001076s ]
[ 2017-04-13T10:09:57+08:00 ] /Text/index | INFO: Tag[ view_parse ] --START--
[ 2017-04-13T10:09:57+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-04-13T10:09:57+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-13T10:09:57+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-13T10:09:57+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-13T10:09:57+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-13T10:09:57+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-13T10:09:57+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-04-13T10:09:57+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-13T10:09:57+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-13T10:09:57+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-13T10:09:57+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-13T10:09:57+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
