[ 2017-05-02T17:16:51+08:00 ] 127.0.0.1 /order/add_order
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | INFO: Tag[ route_check ] --START--
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | INFO: Run CheckRoute Behavior [ RunTime:0.000750s ]
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | INFO: Tag[ route_check ] --END-- [ RunTime:0.000862s ]
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | INFO: Tag[ app_begin ] --START--
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000533s ]
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000576s ]
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8] Undefined index: common CommonAction.class.php 第 125 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | INFO: Tag[ view_template ] --START--
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | INFO: Run LocationTemplate Behavior [ RunTime:0.000779s ]
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | INFO: Tag[ view_template ] --END-- [ RunTime:0.000836s ]
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | INFO: Tag[ view_parse ] --START--
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T17:16:51+08:00 ] /order/add_order | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
