[ 2017-04-27T16:59:16+08:00 ] 127.0.0.1 /media/index
[ 2017-04-27T16:59:15+08:00 ] /media/index | INFO: Tag[ route_check ] --START--
[ 2017-04-27T16:59:15+08:00 ] /media/index | INFO: Run CheckRoute Behavior [ RunTime:0.000441s ]
[ 2017-04-27T16:59:15+08:00 ] /media/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000531s ]
[ 2017-04-27T16:59:15+08:00 ] /media/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-04-27T16:59:15+08:00 ] /media/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-04-27T16:59:15+08:00 ] /media/index | INFO: Tag[ app_begin ] --START--
[ 2017-04-27T16:59:15+08:00 ] /media/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000327s ]
[ 2017-04-27T16:59:15+08:00 ] /media/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000350s ]
[ 2017-04-27T16:59:15+08:00 ] /media/index | NOTIC: [8] Undefined index: p MediaAction.class.php 第 13 行.
[ 2017-04-27T16:59:16+08:00 ] /media/index | NOTIC: [8] Undefined index: common CommonAction.class.php 第 125 行.
[ 2017-04-27T16:59:16+08:00 ] /media/index | INFO: Tag[ view_template ] --START--
[ 2017-04-27T16:59:16+08:00 ] /media/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000555s ]
[ 2017-04-27T16:59:16+08:00 ] /media/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000595s ]
[ 2017-04-27T16:59:16+08:00 ] /media/index | INFO: Tag[ view_parse ] --START--
[ 2017-04-27T16:59:16+08:00 ] /media/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-04-27T16:59:16+08:00 ] /media/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
