[ 2017-05-02T16:57:27+08:00 ] 127.0.0.1 /text/deleteImg.html
[ 2017-05-02T16:57:27+08:00 ] /text/deleteImg.html | INFO: Tag[ route_check ] --START--
[ 2017-05-02T16:57:27+08:00 ] /text/deleteImg.html | INFO: Run CheckRoute Behavior [ RunTime:0.000324s ]
[ 2017-05-02T16:57:27+08:00 ] /text/deleteImg.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000378s ]
[ 2017-05-02T16:57:27+08:00 ] /text/deleteImg.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-02T16:57:27+08:00 ] /text/deleteImg.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-05-02T16:57:27+08:00 ] /text/deleteImg.html | INFO: Tag[ app_begin ] --START--
[ 2017-05-02T16:57:27+08:00 ] /text/deleteImg.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000248s ]
[ 2017-05-02T16:57:27+08:00 ] /text/deleteImg.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000270s ]
[ 2017-05-02T16:57:27+08:00 ] /text/deleteImg.html | NOTIC: [2] Missing argument 5 for Action::ajaxReturn(), called in E:\project\www.dhgj.com\www\Lib\Action\TextAction.class.php on line 122 and defined Action.class.php 第 305 行.
[ 2017-05-02T16:57:27+08:00 ] /text/deleteImg.html | NOTIC: [8] Undefined variable: pagestring Action.class.php 第 310 行.

[ 2017-05-02T16:57:28+08:00 ] 127.0.0.1 /Text/index
[ 2017-05-02T16:57:28+08:00 ] /Text/index | INFO: Tag[ route_check ] --START--
[ 2017-05-02T16:57:28+08:00 ] /Text/index | INFO: Run CheckRoute Behavior [ RunTime:0.000879s ]
[ 2017-05-02T16:57:28+08:00 ] /Text/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001093s ]
[ 2017-05-02T16:57:28+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-02T16:57:28+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-05-02T16:57:28+08:00 ] /Text/index | INFO: Tag[ app_begin ] --START--
[ 2017-05-02T16:57:28+08:00 ] /Text/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000504s ]
[ 2017-05-02T16:57:28+08:00 ] /Text/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000561s ]
[ 2017-05-02T16:57:28+08:00 ] /Text/index | INFO: Tag[ view_template ] --START--
[ 2017-05-02T16:57:28+08:00 ] /Text/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000511s ]
[ 2017-05-02T16:57:28+08:00 ] /Text/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000570s ]
[ 2017-05-02T16:57:28+08:00 ] /Text/index | INFO: Tag[ view_parse ] --START--
[ 2017-05-02T16:57:28+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-02T16:57:28+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T16:57:28+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T16:57:28+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T16:57:28+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T16:57:28+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T16:57:28+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-02T16:57:28+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-02T16:57:28+08:00 ] /Text/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
