[ 2017-04-26T15:25:53+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块Favicon.ico
[ 2017-04-26T15:27:31+08:00 ] 127.0.0.1 /
[ 2017-04-26T15:27:31+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-04-26T15:27:31+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-04-26T15:27:31+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000786s ]
[ 2017-04-26T15:27:31+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000845s ]
[ 2017-04-26T15:27:31+08:00 ] / | NOTIC: [8] Undefined index: common CommonAction.class.php 第 125 行.
[ 2017-04-26T15:27:31+08:00 ] / | NOTIC: [8] Undefined index: common CommonAction.class.php 第 125 行.
[ 2017-04-26T15:27:31+08:00 ] / | NOTIC: [8] Undefined index: common CommonAction.class.php 第 125 行.
[ 2017-04-26T15:27:31+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2017-04-26T15:27:31+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.002365s ]
[ 2017-04-26T15:27:31+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.002501s ]
[ 2017-04-26T15:27:31+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2017-04-26T15:27:31+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-04-26T15:27:31+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-26T15:27:31+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-26T15:27:31+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-26T15:27:31+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-26T15:27:31+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-26T15:27:31+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-04-26T15:27:31+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-26T15:27:31+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-26T15:27:31+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-26T15:27:31+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-26T15:27:31+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-26T15:27:31+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-26T15:27:31+08:00 ] / | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
