[ 2017-04-10T15:23:17+08:00 ] 127.0.0.1 /Text/orderInfo
[ 2017-04-10T15:23:17+08:00 ] /Text/orderInfo | INFO: Tag[ route_check ] --START--
[ 2017-04-10T15:23:17+08:00 ] /Text/orderInfo | INFO: Run CheckRoute Behavior [ RunTime:0.000805s ]
[ 2017-04-10T15:23:17+08:00 ] /Text/orderInfo | INFO: Tag[ route_check ] --END-- [ RunTime:0.000934s ]
[ 2017-04-10T15:23:17+08:00 ] /Text/orderInfo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-04-10T15:23:17+08:00 ] /Text/orderInfo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-04-10T15:23:17+08:00 ] /Text/orderInfo | INFO: Tag[ app_begin ] --START--
[ 2017-04-10T15:23:17+08:00 ] /Text/orderInfo | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000589s ]
[ 2017-04-10T15:23:17+08:00 ] /Text/orderInfo | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000645s ]
[ 2017-04-10T15:23:17+08:00 ] /Text/orderInfo | INFO: Tag[ view_template ] --START--
[ 2017-04-10T15:23:17+08:00 ] /Text/orderInfo | INFO: Run LocationTemplate Behavior [ RunTime:0.001158s ]
[ 2017-04-10T15:23:17+08:00 ] /Text/orderInfo | INFO: Tag[ view_template ] --END-- [ RunTime:0.001284s ]
[ 2017-04-10T15:23:17+08:00 ] /Text/orderInfo | INFO: Tag[ view_parse ] --START--
[ 2017-04-10T15:23:17+08:00 ] /Text/orderInfo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-04-10T15:23:17+08:00 ] /Text/orderInfo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-10T15:23:17+08:00 ] /Text/orderInfo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-10T15:23:17+08:00 ] /Text/orderInfo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-10T15:23:17+08:00 ] /Text/orderInfo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-10T15:23:17+08:00 ] /Text/orderInfo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-04-10T15:23:17+08:00 ] /Text/orderInfo | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
