[ 2017-05-08T09:14:20+08:00 ] 127.0.0.1 /index/index
[ 2017-05-08T09:14:19+08:00 ] /index/index | INFO: Tag[ route_check ] --START--
[ 2017-05-08T09:14:19+08:00 ] /index/index | INFO: Run CheckRoute Behavior [ RunTime:0.008783s ]
[ 2017-05-08T09:14:19+08:00 ] /index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.009341s ]
[ 2017-05-08T09:14:19+08:00 ] /index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-08T09:14:19+08:00 ] /index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-05-08T09:14:19+08:00 ] /index/index | INFO: Tag[ app_begin ] --START--
[ 2017-05-08T09:14:19+08:00 ] /index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.008860s ]
[ 2017-05-08T09:14:19+08:00 ] /index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.008893s ]
[ 2017-05-08T09:14:19+08:00 ] /index/index | NOTIC: [8] Undefined index: _deviceid_ functions.php 第 445 行.
[ 2017-05-08T09:14:20+08:00 ] /index/index | NOTIC: [8] Undefined index: common CommonAction.class.php 第 125 行.
[ 2017-05-08T09:14:20+08:00 ] /index/index | NOTIC: [8] Undefined index: common CommonAction.class.php 第 125 行.
[ 2017-05-08T09:14:20+08:00 ] /index/index | NOTIC: [8] Undefined index: common CommonAction.class.php 第 125 行.
[ 2017-05-08T09:14:20+08:00 ] /index/index | INFO: Tag[ view_template ] --START--
[ 2017-05-08T09:14:20+08:00 ] /index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.023627s ]
[ 2017-05-08T09:14:20+08:00 ] /index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.023742s ]
[ 2017-05-08T09:14:20+08:00 ] /index/index | INFO: Tag[ view_parse ] --START--
[ 2017-05-08T09:14:20+08:00 ] /index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-08T09:14:20+08:00 ] /index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
