[ 2017-05-04T17:04:00+08:00 ] 127.0.0.1 /text/index1
[ 2017-05-04T17:04:00+08:00 ] /text/index1 | INFO: Tag[ route_check ] --START--
[ 2017-05-04T17:04:00+08:00 ] /text/index1 | INFO: Run CheckRoute Behavior [ RunTime:0.000644s ]
[ 2017-05-04T17:04:00+08:00 ] /text/index1 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000747s ]
[ 2017-05-04T17:04:00+08:00 ] /text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-04T17:04:00+08:00 ] /text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-05-04T17:04:00+08:00 ] /text/index1 | INFO: Tag[ app_begin ] --START--
[ 2017-05-04T17:04:00+08:00 ] /text/index1 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000486s ]
[ 2017-05-04T17:04:00+08:00 ] /text/index1 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000530s ]
[ 2017-05-04T17:04:00+08:00 ] /text/index1 | INFO: Tag[ view_template ] --START--
[ 2017-05-04T17:04:00+08:00 ] /text/index1 | INFO: Run LocationTemplate Behavior [ RunTime:0.000865s ]
[ 2017-05-04T17:04:00+08:00 ] /text/index1 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000929s ]
[ 2017-05-04T17:04:00+08:00 ] /text/index1 | INFO: Tag[ view_parse ] --START--
[ 2017-05-04T17:04:00+08:00 ] /text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-04T17:04:00+08:00 ] /text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T17:04:00+08:00 ] /text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T17:04:00+08:00 ] /text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-04T17:04:00+08:00 ] /text/index1 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
